cian_id,city,street,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year
295801670,Москва,Большая Андроньевская улица,55.742027,37.670277,437500,36,1,8,Совмещенный,0,Дизайнерский,False,1,2.7,12,,1,1,12,1972
294138321,Москва,улица Медиков,55.63317,37.673672,345514.950166113,30.1,4,5.5,Раздельный,1,Евро,False,1,2.7,5,,,,4,1967
294286055,Москва,Щелковское шоссе,55.813607,37.82794,308483.290488432,38.9,6,9,Раздельный,,Евро,False,1,2.7,14,,2,2,3,2001
294681453,Москва,улица Генерала Донскова,55.487713,36.917219,176070.528967254,39.7,1,11.5,Раздельный,,Евро,,1,2.7,3,Блочный,,,50,2020
294988268,Москва,улица Борисоглебская Слобода,55.495588,36.91535,185333.333333333,37.5,1,10,Раздельный,,Евро,False,1,2.7,3,Кирпичный,,,25,2017
295003958,Москва,Коломенский проезд,55.663532,37.64993,328860.759493671,39.5,12,8.6,Раздельный,1,Евро,False,1,2.7,12,,2,1,5,1982
295011937,Москва,улица Мусоргского,55.862944,37.620636,294871.794871795,39,5,8.5,Раздельный,1,Евро,False,1,2.7,22,,2,1,4,1995
295378647,Москва,улица Первомайская,55.506138,37.567896,253541.076487252,35.3,8,7.5,Раздельный,,Евро,False,1,2.7,10,,1,,7,1992
290807640,Москва,улица Лавочкина,55.851278,37.502256,275229.357798165,32.7,1,0,Совмещенный,0,Евро,False,1,2.7,9,,1,0,4,1968
291254574,Москва,бульвар Матроса Железняка,55.833349,37.525962,342857.142857143,35,4,7,Совмещенный,,Евро,False,1,2.7,9,,1,,5,1981
292369164,Москва,улица Докукина,55.837338,37.654951,348484.848484849,33,8,7,Совмещенный,,Евро,False,1,2.7,9,,1,,14,1967
292389134,Москва,улица Петра Алексеева,55.718725,37.430588,322085.889570552,32.6,2,6.6,Совмещенный,,Евро,False,1,2.7,9,,1,,19,1973
292832168,Москва,улица Фомичевой,55.857756,37.439427,333333.333333333,33,7,0,Совмещенный,0,Евро,False,1,2.7,9,,1,0,7,
292881283,Москва,Саперный проезд,55.756158,37.828739,285428.571428571,35,6,6,Совмещенный,1,Евро,False,1,2.7,9,,1,,6,1981
292941933,Москва,Реутовская улица,55.7407,37.83598,259146.341463415,32.8,2,6,Совмещенный,0,Евро,,1,2.7,9,,1,,7,
293296775,Москва,Звездный бульвар,55.815706,37.629259,430461.538461538,32.5,4,6.5,Совмещенный,1,Евро,False,1,2.7,5,Блочный,0,0,10,1959
293514272,Москва,Зарайская улица,55.727911,37.775793,296857.142857143,35,1,10,Совмещенный,,Евро,False,1,2.7,12,,2,,4,1970
294207753,Москва,Востряковский проезд,55.57862,37.644603,266871.165644172,32.6,8,6.7,Совмещенный,,Евро,,1,2.7,9,,1,,7,1974
294273078,Москва,Байкальская улица,55.817658,37.812049,293939.393939394,33,8,7,Совмещенный,0,Евро,False,1,2.7,9,,1,0,5,1968
294368404,Москва,улица Островитянова,55.634745,37.51503,367601.246105919,32.1,9,6.7,Совмещенный,1,Евро,False,1,2.7,12,,2,,4,1972
294456162,Москва,улица Генерала Донскова,55.496537,36.921665,186111.111111111,36,3,10,Совмещенный,0,Евро,,1,2.7,3,,0,0,20,2018
294505849,Москва,улица Усиевича,55.806368,37.522863,321229.05027933,35.8,1,8.9,Совмещенный,0,Евро,,1,2.7,9,,1,,7,1973
294551313,Москва,Планерная улица,55.861701,37.430543,375384.615384615,32.5,1,6.6,Совмещенный,0,Евро,,1,2.7,9,,1,,6,1969
294602644,Москва,улица 50 лет Октября,55.656103,37.410277,299694.189602446,32.7,4,6.7,Совмещенный,,Евро,False,1,2.7,9,,1,,4,1969
294727084,Москва,15-я Парковая улица,55.805832,37.817492,337837.837837838,37,10,8,Совмещенный,0,Евро,False,1,2.7,17,,1,1,4,2003
295100417,Москва,Медынская улица,55.593614,37.646453,244798.761609907,32.3,8,6.5,Совмещенный,0,Евро,False,1,2.7,9,,1,,9,1973
295176135,Москва,улица Введенского,55.645288,37.541341,340236.686390533,33.8,6,7.8,Совмещенный,0,Евро,False,1,2.7,9,,1,0,14,1968
295180962,Москва,Севанская улица,55.621851,37.658922,280487.804878049,32.8,8,6.7,Совмещенный,0,Евро,False,1,2.7,9,,1,0,7,1970
