,price_sq,lat,lon,area,floor,kitchen_area,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,lifts,freight_lifts,time_on_foot_to_subway,build_year,bathroom_type,house_wall_type
15686,191598.20389577537,60.05579840620606,30.274117094605312,79.06,22.0,13.7,2.0,Косметический,False,3.0,,25.0,2.0,1.0,5.0,2024.0,,
15689,223797.56042972248,60.05497972730284,30.27484430930464,44.68,2.0,0.0,,Евро,False,1.0,,25.0,2.0,1.0,5.0,2024.0,,
15690,218553.9347826087,60.05497972730284,30.27484430930464,46.0,3.0,14.9,1.0,Евро,False,1.0,,25.0,2.0,1.0,5.0,2024.0,,
15692,235853.0998389694,60.05497972730284,30.27484430930464,49.68,11.0,12.6,1.0,Евро,False,2.0,,25.0,2.0,1.0,5.0,2024.0,,
15694,188843.7513584004,60.05579840620606,30.274117094605312,46.01,12.0,14.7,1.0,Евро,False,1.0,,25.0,2.0,1.0,5.0,2024.0,,
15695,256571.8837339296,60.05497972730284,30.27484430930464,35.78,16.0,13.5,1.0,Дизайнерский,False,1.0,,25.0,2.0,1.0,5.0,2024.0,,
15696,260244.9692565679,60.05497972730284,30.27484430930464,35.78,22.0,13.5,1.0,Дизайнерский,False,1.0,,25.0,2.0,1.0,5.0,2024.0,,
15697,195024.2232754081,60.05556337207511,30.27288382028093,37.98,21.0,15.9,1.0,Евро,False,1.0,,25.0,2.0,1.0,5.0,2024.0,,
15698,233789.6855828221,60.05497972730284,30.27484430930464,26.08,14.0,5.0,1.0,Евро,False,,,25.0,2.0,1.0,5.0,2024.0,,
15699,258355.95304639463,60.05497972730284,30.27484430930464,35.78,19.0,13.5,1.0,Евро,False,1.0,,25.0,2.0,1.0,5.0,2024.0,,
15700,211015.0044622936,60.05497972730284,30.27484430930464,89.64,25.0,17.9,2.0,Евро,False,3.0,,25.0,2.0,1.0,5.0,2024.0,,
15701,394255.8746736293,55.877157,37.485807,38.3,14.0,0.0,0.0,Евро,False,1.0,,17.0,1.0,1.0,4.0,2006.0,,
15703,236091.41055949568,60.0635043731067,30.2915379002255,38.07,2.0,0.0,,Евро,False,1.0,,7.0,,1.0,,2024.0,,
15704,239836.44859813084,60.0635043731067,30.2915379002255,59.92,3.0,0.0,,Евро,False,2.0,,7.0,,1.0,,2024.0,,
15705,238700.31212068663,59.8398542416122,30.3011818516856,57.67,9.0,11.7,,Дизайнерский,False,2.0,,16.0,,,3.0,2024.0,,
15707,208510.63829787236,59.831331,30.113451,23.5,4.0,0.0,0.0,Дизайнерский,,,,4.0,1.0,0.0,,2023.0,,
15711,342500.0,55.830705,37.402641,40.0,26.0,14.0,0.0,Евро,False,1.0,,52.0,2.0,2.0,5.0,2023.0,,
15716,233870.96774193543,55.532635,37.382861,37.2,8.0,11.5,,Без ремонта,False,1.0,,14.0,,,12.0,2022.0,,
15722,273864.11889596604,55.831403,37.569459,47.1,3.0,6.5,1.0,Евро,,2.0,,9.0,1.0,0.0,5.0,,,
15728,237896.8253968254,55.587825,37.165037,50.4,14.0,7.1,,Дизайнерский,False,3.0,,14.0,1.0,1.0,12.0,2023.0,,
15729,225000.0,55.703748,37.820538,60.0,2.0,6.7,,Косметический,False,3.0,,9.0,1.0,,4.0,,,
15732,272222.22222222225,55.774938,37.495051,36.0,1.0,9.7,,Без ремонта,False,1.0,,12.0,2.0,,7.0,,,
15736,261904.7619047619,55.679732,37.776278,42.0,12.0,10.1,0.0,Без ремонта,False,1.0,,16.0,1.0,1.0,5.0,1978.0,,
15737,208454.81049562685,59.8627854804032,30.1541101809927,68.6,15.0,16.0,,Без ремонта,False,2.0,,19.0,1.0,1.0,11.0,2023.0,,
15739,200000.0,59.847783,30.105483,59.0,3.0,16.0,0.0,Евро,False,2.0,,6.0,,1.0,14.0,2020.0,,
15743,374987.5,55.682361,37.626996,80.0,7.0,29.2,0.0,Дизайнерский,,2.0,,26.0,0.0,0.0,8.0,,,
15744,397469.8795180723,55.682361,37.626996,83.0,8.0,18.6,0.0,Дизайнерский,,3.0,,26.0,0.0,0.0,8.0,,,
15749,250000.0,55.7306875653521,37.8516446071308,22.35,1.0,0.0,,Без ремонта,False,,,9.0,,,3.0,2025.0,,
15751,250000.0,55.7306875653521,37.8516446071308,29.99,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15752,250000.0,55.7306875653521,37.8516446071308,22.45,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15756,250000.0,55.7306875653521,37.8516446071308,22.64,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15758,250000.0,55.7306875653521,37.8516446071308,26.45,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15761,250000.0,55.7306875653521,37.8516446071308,29.01,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15762,250000.0,55.7306875653521,37.8516446071308,34.95,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15763,250000.0,55.7306875653521,37.8516446071308,27.15,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15764,250000.00000000003,55.7306875653521,37.8516446071308,22.74,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
15765,250000.00000000003,55.7306875653521,37.8516446071308,22.4,1.0,0.0,,Дизайнерский,False,,,9.0,,,3.0,2025.0,,
